Rating,Review
4.0,I love chips but don't love all the fat and calories they have.  These are a great alternative.  One serving (one ounce) has 120 calories and 3.5 grams of fat.  These taste great and have a nice satisfying crunch just like chips do but are much better for me.  My only complaint is that the butter flavor sometimes leaves a funny aftertaste in my mouth.  I've also tried the sea salt flavor and the white cheddar flavor.  Neither of those leave an aftertaste.  My favorite is the white cheddar flavor.
5.0,"I love the flavor of this tea. The smell out of the bag is very strong, but once made...it is the almost the best tasting tea ever. To me it is worth the price. This is one tea that I do not have to use a lot of sugar with to still enjoy the taste. It will always be a toss up between this tea which is beautifully done and the white ambrosia made by white lion."
4.0,"I absolutely LOVE these, when I get a bean that actually has wasabi seasoning on it. Unfortunately, the wasabi is rather hit or miss in the package. Like other Seapoint Farms products, there is a LOT of husk residue in the container. It appears that the wasabi is applied to the bean outer covering. In shipping, this outer part comes off and so does the wasabi.  Perhaps if Seapoint Farms did a better job of cleaning the beans AND THEN applied the seasoning? While tasty, wasabi-flavored onion skins are not as thrilling as the prospect of wasabi-flavored edamame.<br /><br />A good product worth buying and a good product worthy of improving to make it a great product."
5.0,"Who wouldn't like these??<br />They are fresh, soft and just so yummy.<br /><br />The chocolate is nice and creamy, rich and very fulfilling.  Ladies,  you know when you get that craving for chocolate?  Well, 2 of these will do the job.<br />These cookies only lasted 3 days in my house.<br /><br />We are big fans and I'm actually going to order more of them.<br /><br />They are a nice small size and perfect to flip into your mouth!<br />Wonderful product"
5.0,"This matcha is my first experience with something boysenberry flavoured. I love blackberries, and boysenberries look similar, so I figured I'd give it a go.<br /><br />I'm so glad I took a chance on this flavour! It is really fresh and juicy tasting, with a light berry flavour that is both sweet and tart. It is almost candy-like in both scent and flavour, without being artificial tasting in the slightest.<br /><br />I would urge anyone who enjoys flavoured matcha to branch out a little and try a flavour you wouldn't normally try - I'm betting you'll be pleasantly surprised! All of the varieties that I've tried from Red Leaf so far have been really well done, and pretty much universally enjoyable."
5.0,"I have 2 cats and they are basically addicted to this stuff.  The minute I so much as pick up the bag they come running from whereever they are.  Even if you just say ""yellow bag"" the little ears perk up and they are ready to pounce.  Don't have any idea what makes them so irresistable but they obviously are.  I know other people who have had the same experience with their cats.  Too bad chocolate doesn't have 2 calories per piece like this does."
5.0,"I purchased this product through Amazon and found it to be one of the best Diet Soda syrup mix for the Soda Stream.  Has a really good flavor and no after taste.  Would greatly recommend this product to anyone who asks.<br /><br />One more shopping note - they didn't have it at my local Bed Bath & Beyond, but you might be able to save some money if you can find it at yours, as they are selling the same size syrups bottles for $4.99 + tax compared to some of the prices listed on Amazon."
5.0,"I have never eaten a true Indian Brinjal, but I love this eggplant relish which has a bit of spice and a chunky texture. It's delicious as a side to a curry dish or with a stew and rice. I even put it on sandwiches for a kick! Yum.<br /><br />You can see the chunks of eggplant and there's a light rose-like flavor from time to time but not overpowering (or I couldn't eat it). I buy it in the natural or organic section in my local markets (even in Montana)."
5.0,"I used to eat these King B beef jerky sticks all the time when I was younger, they were my favorite! I figured once King B was gone so was my beloved jerky, but luckily Jack Links has brought it back. This jerky is above and beyond any of that overly-sweet bagged jerky Jack links sells. No, instead this is the way jerky should be, nice and chewy and salty yum. I know some people on here complained about the saltiness but I don't think they're overly salty, they're just plain delicious. Order some, you won't regret it."
5.0,"I grew up eating poultry, beef and others meats with Sazon. My mom used it. It is really popular in NYC, especially the Bronx. I moved to the West Coast and cannot find it in stores out here so I am very happy I am able to order it online through Amazon - if not I would be really depressed. There is nothing like Sazon, it makes EVERYTHING taste fantastic! I use it on Chicken, Steak, Beef and Vegetables. When I'm getting low I become sad because without it everything tastes so bland. I like that this seasoning adapts to what you use it on so the flavor is delicious but the food doesn't taste the same. If you're a fan of rice and beans I highly recommended using this with Goya Sofrito and Recaito. You will make the BEST rice and beans ever. All you need is :<br /><br />2 packs Sazon<br />A can of Red Kidney Beans<br />1 half of chopped onion<br />2 tablespoons Recaito<br />2 tablespoons Sofrito<br /><br />Mix all ingredients in a sauce pan on medium heat for 10-15 minutes. Serve over steamed white rice and let the fireworks in your mouth begin.<br /><br />Much love!"
5.0,"I'm a newcomer to Travedi water. Unlike most bottled water, Travedi water tastes good. One noticeable difference--and I'm still testing the effect--is my skin. It looks healthier. (And, yes, I drink water all the time anyway, and I stay away from soda, and other carbonated beverages). All in all, this water can be delivered to your front door and tastes good. In another couple of weeks, I'll give more feedback.<br /><br />Thumbs up!"
5.0,"I have been feeding my cocker spaniel holistic select for over 4 years, and I have been very pleased!  Recently I have discovered Amazon's auto-shipment of the dog food which is great, since the stores that sell it is quite a drive.  My cocker spaniel has had severe ear problems (as many cockers do) and the vet recommended a prescription dog food, after doing research, I decided on holistic select instead, and his ears are so much better!  They went from ""chronic"" to just irritated, and the vet was very pleased with his improvement.  He loves this food, and would eat it constantly if I let him!  I would recommend this dog food to anyone!"
5.0,"These cookies are wonderful.They are thin, delicate, and have a buttery, slightly cinnamom taste. There was a Potato Chip Commercial out years ago, which simpy stated "" I bet you can not eat just one... "" This reference may also be made to these cookies. They are so good!<br /><br />We purchased 2 cases, to give for a nice little Holiday Gifts. My Mother is 82, she has always baked cookies for our family, she praised them highly as well.<br /><br />For those into making Gift Baskets, these would be a nice addition.<br /><br />The price on Amazon was less than in the local Grocery Store. The Free Shipping, was also great."
5.0,"New to the Keurig coffee maker this was our first cup. We really like this system not only for the taste but it makes you feel kinda special brewing your own individual cup.<br /><br />The Timothy's Mocha Java is my favorite even after trying several other brands and flavors. It explodes with a flavor kick and has great taste. No aftertaste, not bitter even after my 2nd cup last night. Medium bold blend, rating 4.0 on our scale of 1-5, but:<br /><br />I am still looking for that perfect 5.0 cup of coffee."
5.0,"I found this salt one day in an Italian deli in Half Moon Bay, CA.  I got really hooked on the coarse variety.  After I ran out I tried other coarse salts, but they were not the same!  These crystals are smaller...just the right size, and NOT TOO SALTY.  Its hard to describe, but it makes all foods better.  You get that little crunchy taste which adds so much to fresh tomatoes, pasta, any food which needs a little salt.  I only use this right before eating....not in cooking. (I use the regular iodized salt to get my iodine when cooking!)<br /> The whole idea is that you want that texture and flavor.  I send for this online , and pay shipping (!) because I like it so much!  Highly recommended."
5.0,"I have never been much of an organic person and couldn't really understand all the hype.  I purchased this for my daughter simply because I had a coupon.  It was a HIT!  She absolutely loves it and devours it.  Now that I am sure she likes it and will eat it, I will be ordering it a case at a time from Amazon, you simply cannot beat their price for Earth's Best baby food!"
5.0,"I love this stuff.  I could drink 3 or more cans every day.  It has that perfect blend of coffee and chocolate and gives me a boost.<br /><br /> What I find odd is the price here.  I got excited discovering that I could buy in bulk as compared to 1 can at a time at local gas stations.  As others stated, I assumed the price per can would go way down because of the quantity.  Well, at $50 per 12 pack it's well over the cost of my 1 can-at-a-time cost at gas stations!  I pay from $2.29 to $2.69 locally while this Amazon cost is $4.11 per can.  What's the point in buying in bulk if the price goes up??  And I'm not even considering shipping cost.<br /><br /> As a price threshold, for me if the price exceeds $30 for a 12 pack, I say forget it."
5.0,"I was searching for the perfect K-Cup to make lattes at home. I wanted one that tasted the most like coffee shop espresso. Jet Fuel is the hands-down winner! It's rich, bold and slightly bitter, which is perfect for lattes. I brew it on the smallest setting so that it is more concentrated. I heat milk with flavored creamer and pour it into the Jet Fuel. Then I whip it with my little hand-held frother. It tastes as good as, if not better than, a coffee shop latte at less than half the price! So wonderful! I would not drink Jet Fuel straight, but it is the perfect choice for lattes."
5.0,"I LOVED THIS COFFEE. I just got my order a few days ago and I normally drink just one cup of coffee in the morning......Now I can't wait and have had an afternoon cup, too. I must say....I look forward to getting up in the morning just because I know I'm having this coffee!! TAHT SAYS A LOT FOR A LTE SLEEPER!! Try this one!! I like it on thenext to highest setting on my Keurig....it has an awesome aroma while brewing and the taste is smooth, never bitter and there is something that 'hints' of a slight fruitiness with the first sips......then the end of the sip is just a perfect brew, too. Never any aftertaste or bitterness. I am so happy to have found this!! Thanks Wolfgang! I have now ALL of your kitchen gadgets cookware and now the coffee too!"
4.0,"Of the 3 MiO flavors that I've tried, Peach is my favorite. I'm generally not a big fan of peach flavored anything, but this is good. Not surpringly, it tastes a lot like their peach mango.<br /><br />As with all the MiO's, the biggest negative is that it is hard to get a consistent amount of mix. It is next to impossible to measure it with a spoon. Short of that, it is a matter of how hard you squirt. Two strong squirts is the best guess I have."
5.0,"I really love Annie's brand!  These ""Sketio's"" are good!  I use them for lunch for the kids.  I cut up hot dog ""pucks"" and put them in with half a can.  The kids love it!  The sauce does have a different taste to it than the name brand we all grew up with, but I suspect that's because it's better quality ingredients and they probably don't use as much sugar."
5.0,"This is the best pepper hands down. I thought ""nah, all pepper is the same."" but once I put this in my grinder and ground some I could tell the difference immediately from the aroma alone. Tellichery is a place in India where these peppercorns come from. India was the spice center of the world centuries ago and I think I know why. Grind up some of this and pepper your favorite to pepper food and you'll never go back to generic black pepper.<br /><br />Amazing aroma and flavor."
5.0,"As much as I find Amazon.com convenient, this is no deal at all.  I was just at Costco yesterday and bought two boxes of 38 Fiber One Brownies and each box was only $10.99.  For the price they are charging here, Amazon.com should be sending you three boxes.  As for the bars, I am newly diabetic and the Brownie bars make for a nice ""dessert"" item after an otherwise low carb meal.  They have 13 grams of net carb after subtracting out the 5 grams of dietary fiber.  The item offers a chance for a smaller treat than the Oatmeal and Chocolate Fiber One bar, which I also enjoy to get my chocolate fix in a healthier way."
5.0,"Tastes very close to Malaco's Djungelvral (jungle roar) without the extra salt ""topping"".<br /><br />Cons; gets stuck between your teeth if you chew it too fast and don't watch out.<br /><br />Pro's; 1. Can help a sore throat. 2. Shelf life says 2009-2011 (although I wouldn't doubt it would be ok beyond that if kept right, being so salty), not bad to keep something sweet&salty for emergency.<br /><br />My favourite salty candy is the little ""saltier"" sort like Tyrkisk peber. When it comes to sweet licorice my fav. is the Schoolkrijt (chalk licorice), but K&H diamonds lasts me a little longer.<br /><br />K&H diamonds also brings me childhood memories when I used to buy these and similar for 1c a piece, K&H always tasted the best after swim school, I think because to clean out that nasty chlorine taste, it takes something special.<br /><br />I have not been able to find any decent licorice candy where I live. Thank you Amazon!"
5.0,"I don't have to reiterate all the known benefits of coconut oil, the effects are well known. I was diagnosed with hypothyroidism in 2010, and had been suffering from weight gain and sluggishness since. I read about how the oil could treat hypothyroidism so I started taking a tablespoon on toast every morning. Fast forward to 2012, and my thyroid test says my thyroid is perfect. My doctors were stumped. Couldn't be happier with the product. Tastes great too."
5.0,"Got my belly flops yesterday.  Packed carefully and of the 5 bags I ordered 3 were 1 mix and 2 were another.  Both are great!  Even at the Jelly Belly factory there were only a couple different selections on the mix, so this is fine with me. MMMM, just got a peppermint one!!I'll be back to order when these are gone!  Thanks Jelly Belly for offering the flops on-line now!"
5.0,"I've been buying diamond naturals dog food for over a year now because it doesn't contain any corn, soy or wheat like so many other dog foods. I always try to find better deals on good dog food but diamond is by far the cheapest one. I usually get diamond naturals chicken formula 60+ from my local pet food express for around $38-40, but this is a couple bucks cheaper and ships for free, saving me a trip to the store."
4.0,"Diamond Naturals is a great product.  We switched from Nutro because we were looking for the Nutro hariball control formula.  I stumbled across Diamond Naturals.  This product is free from by-products like Nutro, uses great ingredients, and IT'S MADE IN THE USA.(Nutro is made in Canada).<br /><br />Our cat had some GI issues.  Nutro was the food that was working best with her system.  We switched to Diamond only after she started having hairballs.  The switch took a few days but now her litter box is not a mess after BM and no hairballs.  This is a great product and something Nutro users should consider."
4.0,"My dogs, a jack russell and chihuahua, like this dry food,  the jack russell loves eating most of the soft meaty bits first then eats the crunchy veggie bits.  The chihuahua prefers the soft meaty bits and will nibble on the crunchy veggie bits last.  I can also use both the soft and crunchy bits as training treats for the dogs.  Chef Michael's dog food also has a nice aroma, quite organic and does not smell arificial and funky like some dog food, just smells natural.  There is also a lot of natural and healthy ingredients with the food.  I would definitely buy this for my dogs again."
4.0,"While I do recall these might not be as delectable as the full-fat version, I'd have to have them side by side to say for sure, and even then I believe the difference probably wouldn't be enough to raise a fuss over. I like these so much I eat them right out of the can. Then there's the added bonus of left over gravy! I like to use the gravy over whole wheat egg noodles, or add to veggie broth when rehydrating tvp. The gravy freezes well until needed, and the FriChick itself stays fresh in the fridge for up to a week once opened. On it's own I personally don't think it actually tastes like chicken, but it quite yummy in it's own right."
5.0,"While this tea is fabulous for ANY nursing mama in supporting breast health, it's also great for the mother who might be struggling to produce. I've tried every brand of nursing tea that I know of and while they all work great, this tea is the most effective in boosting milk production. As with any nursing tea, if you're trying to boost your supply, you cannot drink 1-2 cups a day and expect amazing results. I have a condition called Insufficient Glandular Tissue (a.k.a. IGT) and the only way I can manage to make enough to feed my babies has been herbal supplements along with nursing tea, this one being the most effective for me. Of course, if you're worried about production the most important thing to worry about is nursing your baby on demand but for mama's like me, or maybe mamas who pump while their away from their baby and need an extra boost, this tea is WONDERFUL!"
4.0,"These are so hard to get into the toy!  I have had to resort to using a screwdriver to actually get it in.  The medium size is also difficult, but nowhere near as hard as the large size.  I was really excited about these when I bought the toy, but it is so hard to get in that now I only use it when I know I will be gone for a significant amount of time.  The first time I gave it to my dog, he had it out in about 2 minutes.  Thankfully the next time it took a couple of days, but it is annoying to get these in."
5.0,"I love this liquid beef broth concentrate!  It is handy to have if you are sick and need nourishment; or,,,,what I use it most for is to add flavor to other foods.  Left over meat? use 1 or 2 packet(s) with 1(2) cup(s) water and heat the meat up and make gravy with the juice.  I will often use the beef broth with chicken for a unique flavor.  I add it to quinoa for beef flavoring.  We don't often use rice; but, it surely could be used for rice dishes as well.  I have a decent stock of this....easy for hubby to use too; and he did when he was making meals for me after a recent surgery..."
5.0,"I feed my cat (2 years old, ~12 lbs) 5/8 of a cup of this dry cat food once a day, and my vet says that's just fine and he's doing great. He was prone to hairballs, but the extra fiber in this food has fixed that. The size of this bag also fits perfectly (maximizing space) in our kitchen cabinets, and it's delivered straight to our door. Highly recommend!"
5.0,"I have an ice cream maker at home, which has been gathering dust for a while.<br />I came across this product and thought to give it a try. As I expected, it was really<br />easy to make. Just mix with half and half and dump it into the machine.<br />I have tried chocolate and vanilla so far, and they turned out to be pretty delicious.<br />I do love the flavor and aroma. For a richer texture, I added a little heavy cream, and<br />the ice cream was smooth and creamy.<br />We received our ice cream maker as a gift a while back and are finally putting it to good use.<br />My kids and I had fun making ice cream at home... It is a time-saver and tastes great too!"
5.0,"Ok, so it is a little strange that these literally come in a brown paper bag. But, I don't care. I got an awesome assortment of coffees to try. I'm excited to try each and everyone. No ""filler"" flavors like I expected. I will certainly be buying again. And if you are buying a Kurig for someone for Christmas, I Highly recommend you purchase this for them as well!! Where is the 6 stars button?"
4.0,"My cat, who had food allergies of unknown type, really liked this food and could eat it fine from an allergy viewpoint. It is very high in protein (40%). Neither she nor my other cat eat great quantities of it (the recommended feeding for 5-8 lb. cat is 1/4 to 1/2 C per day, and this is assuming an outside cat) as they don't need it. They both free feed. However, it does make the stool of one cat very soft, though still having a shape--so we have problems with feces sticking to her fur and then she rubs her butt on my carpet!! Hence four stars instead of five. The other cat does not have this issue. Due to this issue, I usually mix this food with another food.  Another comment: when one cat was losing weight due to illness, my vet recommended going to kitten food due to its high protein, but this one is much higher in protein than any kitten food I've found.  While it is expensive, they eat little volume of it, and don't use the litter box as much, so I save on both ends."
5.0,"My boyfriend and I both realized within the last year or so that we enjoyed Starbucks brand coffee best in our house, so it's one of our splurges. Since I work from home, I don't hit the coffee shops, I need to get my fix from the kitchen. He's also started bringing a travel mug to work instead of stopping off at a shop, so we find it's necessary to buy coffee we REALLY like. I was thrilled to try this and it didn't disappointed.<br /><br />I expected something like the usual vanilla flavored coffee. But this was more subtle and natural tasting. It was a startling surprise from what I'm used to when buying flavored coffees. There was nothing fake or overly sweet about it. Boyfriend also said he liked it a lot, which I didn't expect since he's not really a flavored coffee kinda person. Delicious coffee, and I look forward to trying the other fusion flavors."
5.0,"While I was born in the states I absolutely love having this on my cheese and tomato sandwiches.  I had this while studying abroad in London, and I've been hooked ever sense.  So anytime I can find it here in the states or online I always buy it.  Unless you like pickled things in general you may not like this.  My boyfriend thinks it's horrid but the tangy flavor and crunch adds a little something to your sandwiches."
5.0,"I love these almonds - they are the perfect snack, you don't need to eat a lot to feel satisfied. Also, since they have a lot of flavor, you feel ""mouth-satisfied"" as well. The wasabi is not too hot (actually I wish it were just a little hotter) and the soy just adds a little bit of saltiness. I recommend these if you like wasabi peas but want something with more nutritional value."
4.0,I really like the product and it does make a great margarita but buyer beware. The web site for ordering is not very clear and you may end up getting only one jar and paying $30 for shipping when you can get three jars for the same $30 shipping cost (does not include the product cost). I complained to the vendor but they didn't seem to care. I ended up paying $52.50 for one jar (including shipping) when I could have paid $97.50 for three jars which would be an average of $32.50 per jar (including shipping).
5.0,"Since cats are obligate carnivores, high protein and very low carbs are a must for keeping your companion animals happy & healthy. When you read the cat food labels you will see that Wellness has eliminated the grain, useless fillers and by-products from their formulas.My kitties love all the flavors and will always come back for more. Just remember when changing to a new food to start gradually by adding a small amount to their regular food and keep increasing until you replace the old with the new. This is one of the best and healthiest cat food on the market and it was NOT involved in the massive pet food recalls of couple years ago."
4.0,"Usually, I'm a fan of a very deep, dark roasted coffee, with a full-bodied, smooth flavor. This coffee is a very deep flavored mild bodied coffee. I'm usually not a fan of mild coffees but, this is one that I like to drink at night if I want a cup.<br /><br />These are individual pods, for making one cup of coffee. I like the handyness of just grabbing one to take to work to use in my single cup drip coffee maker.<br /><br />Overall, I'd recommend this coffee for anyone that likes a deep flavored coffee. Though, if you like a deep roasted coffee, such as a French roast you might think this one is a bit too weak for your morning java."
5.0,"I have IBS with constipation issues. I drink this everyday and it helps me use the bathroom properly and makes the bowels and tummy feel better without the jitteriness of caffeinated green tea. I cannot live without it! I was so glad to find it here on Amazon in a 6 pack case. I had been buying it at Whole Foods for more than double the price! As long as Amazon keeps selling it, I will keep buying it. It is a great price here.<br /><br />Update 6/2/12 - I did order this box set and Amazon DID send me the right one, the decaf. Some reviewers complained they were sent the one with caffeine but I got the right one now. Bottoms up!"
5.0,"I have tried numerous dry cat foods, but the one my cats like best is the Goodlife Recipe! Not sure if it's the yummy aroma, or just the sound of it being poured into their bowls, but they sure come running!  I feed our cats canned food, but always have a bowl of dry food available. Some of our cats prefer dry food, and this recipe is a winner! I like the fact that it's high in protein and has fiber and veggies too.<br />Try it- you won't be disappointed!!<br />Pricing on Amazon is great, the automatic delivery is a godsend- and free delivery is a winner!"
5.0,"This review is for the DARK CHOCOLATE CHERRY CASHEW flavor only....these are so good that I had to quit buying them so often because I would eat the whole box in 2 days! These are as good as candy bars. They DO NOT taste like any sort of ""healthy"" snack bar or anything. Now, some of the other flavors do and I think some of them are gross but this flavor is like eating a dang Chunky candy bar or something. Seriously, they are so good. They are really crumbly though so don't eat them in your jammies watching TV late at night (guilty!) or you will wake up covered in chocolate. :) But if you like nutty chocolate bars you will love these and you won't feel as guilty as if you were eating chocolate candy...but you won't be able to tell that you aren't!"
4.0,"Looking for a soy-free, gluten-free chocolate cake mix that actually tasted good, I picked this mix up on sale. The texture was great! It far exceeded my expectations as far as both texture and taste for the cake itself. The frosting was a disappointment. I should have followed my instincts and not added all the water at once, instead one Tbsp. at a time until I got the consistency right. It tasted fine- but was completely runny and watery! I ended up dumping it over anyway, which made it like a chocolate fudge cake- which honestly didn't hurt it! Despite not looking like it should have it tasted great and even NON-GF peeps were taking it rather than the regular cake at my daughters' birthday party. I'll be buying it again, because it's great to have a decent-tasting mix that EVERYONE in the family can enjoy! Next time I'll add the water to the frosting one Tbsp. at a time, though!"
5.0,"I'm glad this comes in a two pack.  My wife and I have one bottle in the kitchen and one in the bathroom.  She uses it as a moisturizer after showering and I use it in my hair (I have black hair).  In the kitchen we use for cooking and flavoring.  I drop a dollop in my oatmeal in the morning (along with some hemp protein) to add some sweetness, but not too sweet.  I highly recommend this product."
5.0,"I started out drinking the Apple Cinnamon per my health food store owner's recommendation on a really hot day, then after a few weeks tried the Grape flavored, and recently went back and she told me that the Ginger Spice was her favorite.  Now, I'm addicted! I eliminated soda-pop out of my diet completely about 5 years ago and only drink water so this is a nice, very healthy treat.  This wonderful, healthy drink is a refreshing way to get my daily intake of Apple Cider Vinegar."
4.0,I have two.  I like this product for a few reasons and dislike it for only one reason.  This is a good product because it gives you perfect 2oz portions.  It is easy to clean and store and fit in the freezer.  The only down side is that the plastic scent is a bit strong and sometimes the food scent stays on it even after I wash it in the dishwasher.  Maybe it is because I do not take them out once they freeze and place them in ziplock bags.  I just leave the food in and take 1 or 2 out at a time.  I still make and store my little one her apple sauce even though she is a finger food baby and not a puree baby anymore.  I still use this product and recommend it.
5.0,"I have loved gooseberries ever since I had my first piece of gooseberry pie at a small family bakery in San Luis Obispo county. I've always preferred the more tart fruits in desserts, preserves, chutneys and such.<br /><br />I find them a refreshing change from the sweeter desserts, etc. I was thrilled to find them available from Amazon and at such a good price.<br /><br />Amazon ------- not just for books anymore!!!!!!!!!!!"
4.0,"As a relatively new Keurig user (former Senseo user), I have been trying various flavored coffees along with regular pods.  This coffee was not bad, just not my favorite flavor combination.  I'm not sure why because how can you beat chocolate and raspberry.  This is just a personal preference issue.  The product was received in a timely manner and arrived in good shape.  So far my favorite flavored coffee is Timothy's Sugar Bush maple. This flavor may work well for you.  Enjoy"
5.0,"Cat Chow Complete Formula for Cats of all ages, my cats love eating this stuff, if I switch Brands they don't like it that much, it happened one time, the place I get it from was out of it. It is Ideal for Multi-Cat Households, includes High-Quality Protein to help maintain a Healthy Heart and Helps to support best Immune System no matter what their age. I feed my cats tuna, chicken and many other good things, however, they always have a bowl filled with Purina Cat Chow and that's the very first thing they like to eat! Purina Cat Chow Complete Indoor Formula, My Cats Thank You!"
5.0,"My local grocery store didn't carry it anymore and due to the large amounts of coffee I drink, I like to detox from time to time using this tea. The hibiscus is great for your kidneys.<br />The flavor is great hot or cold. If you are wondering what this tastes like, if you have tried Starbucks' ""Berry Berry Hibiscus"" drink and liked it then you will like this also as the flavor is quite similar. The price is very reasonable, it cost the same as the grocery store including shipping.<br /><br />Definitely will continue to purchase here @ Amazon!"
5.0,"I haven't used Shake n Bake for years. I decided to try it again, and I'm glad I did. It only took 15 minutes in the oven, and it tasted pretty good. It was nice and crunchy without any frying. I made it with a box of Stove Top stuffing and some green beans. I had dinner on the table in less then 30 minutes. My 18 yr. old son had two helpings. He told me to make this more often too. I'm going to be buying this more often now, because I forgot just how easy it was to use Shake n Bake, and the chance to try it again brought back old memories."
5.0,"This is the first time I have ever prepared steel cut oats and I have to say I prefer them to rolled/instant.<br /><br />To those that don't have 10 min to cook them, do it the night before, then just reheat throw in some frozen berries and you have hot breakfast.  The other nice thing about steel cut is you can have them a bit ""al dente"".  I don't really like super soft, and supper soggy oats."
5.0,"Our dog is older and has arthritis.  He has a hard time getting around sometimes.  After we started giving him these treats with glucosamine, he visibly improved.  He is a little quicker, and gets around much more easily.  I know that vets say that they are not sure if glucosamine helps, but from my personal experience it definitely does.  Plus - it is much easier to get him to eat these treats than something in pill form - he loves the way these taste and gets excited when he hears us opening the bag.  They are a little pricey - but absolutely worth it in my opinion!!"
5.0,"Liver Chiplets are a staple in my three dog household...Have been buying them for about a year, and all my dogs love them..They love these treats, almost as much as they love beef marrow bones!  I buy by the case, and it lasts a couple of months for a three dog family..Inside each package, there are a few free samples of different treats that durango produces.  You cant go wrong...Only about 3 ingredients, and all healthy.. I can't praise the chiplets enough!  My dogs are all different, from a Benji type dog, to an Airedale Mix, and a Shepherd/Cattle Dog mix...They all love em, and will be the most obedient to receive them!"
5.0,"I love this and will buy it again!  I had beef stew meat in my freezer, so that's what I used and it worked fabulously.  I cooked the beef to about 2/3 done, then added it to the curry mix when it was ready.  Because it was stew meat, I turned the heat down and covered it and let it simmer for awhile so the meat would get more tender.  When it was ready, the stew meat was VERY tender.  The curry has a wonderful flavor and there is plenty of sauce so that you could add veggies if you wanted to.  I added peas.  Next time I may add potatoes and onions as well.<br /><br />I have never had Singapore curry before, but it really made me think of Thai curry, which I love.  I thought the lime leaves in the curry could have been smaller as they are a bit chewy, but they impart such a fantastic flavor!  It is delicious and I'm guessing, since I just made it last night, that it will be even better today when I have it for lunch!"
4.0,"I got this product out of sheer curiosity and as a sufferer of acid reflux (sometimes when I drink water, the acid in my stomach goes up and I can feel it in my esophagus). The first sips gave me acid reflux just like all the other water brands. However, after a few days of only drinking Essentia, I found that the water no longer impacted my acid reflux and I was able to drink it normally. I do not know if this was a placebo effect, but I did find that it gave my stomach no reaction when it was drank cold. As a result, I will continue to drink Essentia water.<br /><br />I heard Whole Foods sell these, and they probably have it cheaper. So I would go there first before purchasing here on Amazon."
4.0,"I bought this after purchasing coconut extract from the grocery store.  The store coconut extract didn't add any coconut flavor to my dish (coconut cupcakes or coconut bread pudding).  This product did the trick.  It adds a distinct coconut flavor and is delicious, but don't use too much - it can be powerful.  I use this product whenever I need to add a little coconut flavor.  The amount in the dram is small, enough for 2 uses, so I usually order 2 at a time."
4.0,"This coffee is very smooth and has a great flavor, medium roast, without being bitter.<br /><br />The pods do not fit in a Keurig machine so you will need to cut each one and empty it into a Keurig insert for regular coffee grounds such as the <a href=""http://www.amazon.com/gp/product/B0051SU0OW"">ekobrew Cup, refillable filter for Keurig Brewers, Brown, 1-Count</a>.  This seems to work fine for me, just be sure you don't over fill as the pod may contain a bit more grounds than needed for a Keurig."
4.0,"Its been almost a month since I switched my two cats over from Meow Mix to Purina Sensitive System. Both of them love it, and the older of the two cats has significantly vomited less after eating this food.<br /><br />I came to realize the poor quality of ingredients in Meow Mix, and hoped to find a better quality food for a good price, but its no surprise to me that even a good bag of dry cat food has some undesirable ingredients (corn gluten meal, chicken by-product, etc.) and its almost impossible to find anything of high quality without those ingredients and still be paying a decent price for it. The 3.5 lb bags I get at Target are about $6.00. Not too expensive, and the bag lasts my two cats a little over a month.<br /><br />Although Purina Sensitive Systems isn't the best ever, its not the poorest either. It falls just in the middle, and I'd recommend it to those who can only afford an inexpensive dry cat food, but with better quality than the cheaper Meow Mix brands."
4.0,"I discovered these because my daughter's dentist gives them out to his patients (children's dentist). I didn't know anything about Xylitol and was a bit skeptical about it.  So I researched it and learned that it's just a natural sweetner, that's actually good for teeth!  A mother's dream come true!  And they taste really good! I gave it 4 stars, however, because with the outrageous shipping, they are pricey for the amount you get.  The bag these came in is about the size of a medium ziploc bag."
4.0,"I've been trying different jerkys because my Dukan Diet allows it... Some have way too much sugar content. Thanks, Jack Links, for doing it up right! (3 grams sugar compared to 7+ in other brands.) The peppered flavor is spicy enough to let me know I ate something, but it's not so sweet it comes across like candy. I buy pound bags and divide it into five baggies, or I'd eat the whole bag at once. The meat is pretty clean, compared to other jerky I've had where every other mouthful is unfit for chewing. Best price I've found was through eBay buying in quantity, then dividing the bags myself. That last crumbly handful left in the bottom of the one pound bag is a real eye-opener, as that seems to be where all the pepper seeds congregate. Good Times! P.S. Lost 40 pounds on Dukan Diet in about three months and am very content with the foods I get to eat, jerky being one of them."
4.0,"I love the 34 degree cracked peppercorn, wheat, and other varieties so I thought I would try the caramel, cinnamon, and graham as an alternative to cookies or regular graham crackers. True - you can have a lot of these crackers for little calories/carbs, but the flavor is bland. In terms of satisfaction, they don't quite cut it for me as a snack unless I put peanut butter or something on them. They would probably be good as part of a fruit and cheese dessert platter, along with some peanut butter, fruit spread, honey, or cream cheese."
4.0,"This stuff is addicting.  It has a touch of hops with a strong chocolaty sweet flavor.  Only problem is the price here.  Anywhere you buy it online is going to be pricey, but after shipping this comes out to just over $4 a bottle.  If you do a google search, you'll find another site (everythingtrini) that sells a 24 pack for $30 with $30 shipping.  Still pricy, but comes out to about $2.50 a bottle."
